"公司名","曾用名","联系电话","公司网站","法人","地址","简介__","简介____-","简介","注册资本","公司状态","工商注册号","组织机构代码","统一信用代码","公司类型","纳税人识别号","所属行业","人员规模","实缴资本","登记机关","参保人数","英文名","注册地址","经营范围","法人简介","执照实拍","当前企业网址","邮箱","注册时间","成立日期"
"","","","","",""," (系华讯地产全资子公司)","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," 重庆华迅地产发展有限公司发轫于上世纪九十年代，经过十几年创业，具有雄厚的经济实力、丰富的房地产开发经验和严谨的物业管理理念。是集开发、销售、运营、管理为一体的大型房地产开发公司，并跻身重庆市第二届房地产开发企业50强。","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," 几年来成功开发“御景江山、蔚蓝世纪、南滨印象、御景天城”等精品楼盘，目前成功建成“环球金融中心（WFC）”项目，该项目位于解放碑核心地段（美美百货旁），高度为339米，共73层，为重庆已建成第一高楼。其中商业广场系集奢华于一体的大型奢侈品购物中心，建筑面积约3万平米。集合国际奢侈品牌，提供购物、餐饮、休闲、商务等顶级服务。本项目聘请了英国顶级商业概念设计公司CONCEPT.I,项目已引进国际奢侈品牌，如PRADA、MIUMIU、Dolce&Gabbana、Givenchy等。","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," 重庆新环金物业管理有限公司成立于2014年7月10日，系重庆华迅地产发展有限公司旗下一家全资子公司。公司与国内着名的物业顾问管理公司携手合作，依托专业的管理团队，秉承“为客户提供完美至尊的物业服务”为宗旨，力求打造重庆地区一流的高端物业管理品牌。","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," 现因经营管理需要，向社会各界诚聘以下岗位人员，并且公司将始终致力于为每一位员工提供完善的薪酬福利保障体系，同时更为员工提供专业化的岗位技能培训，以及广阔的职位晋升空间。","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," 愿您与企业共同成长！","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," 福利待遇：五险一金、餐补、带薪年假、工龄工资、节日礼金、生日礼金、高温补贴、良好的工作环境，专业的培训机制，完善的晋升体系。","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," ","","","","","","","","","","","","","","","","","","","","","","",""
"中国邮政集团公司重庆市万州区兴茂花园报刊亭","-","暂无","暂无","屈光明 ","重庆市万州区兴茂小区",""," ","","-","存续(在营、开业、在册)","500101300020400","-","-","国有经济","-","批发和零售业","-","-","重庆市工商行政管理局万州区分局","-","-","重庆市万州区兴茂小区","邮政附属业务。商品代销。","https://www.qichacha.com/pl_pf75045ed41f1b18fe0e21d65628577e.html","http://qccdata.qichacha.com/ECIScreen/ffa5b39b89357b2bf2589929ffca780a/20180209192445777.png","https://www.qichacha.com/firm_ffa5b39b89357b2bf2589929ffca780a.html","暂无","2015-04-16","2003-02-25"
"重庆长城宽带网络服务有限公司沙坪坝营业所","-","暂无","暂无","赵缙 ","重庆市沙坪坝区小正街331号风华大厦平街3层",""," ","","-","存续(在营、开业、在册)","500106300031836","79801842-8","91500106798018428P","分公司","91500106798018428P","租赁和商务服务业","-","-","重庆市工商行政管理局沙坪坝区分局","-","-","重庆市沙坪坝区小正街331号风华大厦平街3层","信息服务业业务咨询(以上范围法律、法规禁止经营的不得经营;法律、法规规定应经审批而未获审批前不得经营)*","https://www.qichacha.com/pl_p08be07b08847eb2e373626462644d7f.html","未上传","https://www.qichacha.com/firm_0d2a54988c5dc66d38ffa3c02cf1bbb5.html","wuyujiao1@bet.com","2017-07-14","2007-01-25"
"北京南北潮餐饮管理有限公司","-","暂无","暂无","何福霞 ","北京市东城区崇文门外大街40号7层702室",""," ","","500万人民币元","开业","110302021293293","MA005PEB-1","91110302MA005PEB1Q","有限责任公司(自然人投资或控股)","91110302MA005PEB1Q","租赁和商务服务业","-","-","北京市工商行政管理局东城分局","-","-","北京市东城区崇文门外大街40号7层702室","餐饮管理;企业管理;技术开发、技术转让、技术咨询、技术服务;经济贸易咨询;会议服务;承办展览展示活动;组织文化艺术交流活动(不含演出);销售机械设备、电子产品、计算机、软件及辅助设备、通讯设备、厨房用具;餐饮服务;销售食品。(企业依法自主选择经营项目,开展经营活动;销售食品、餐饮服务以及依法须经批准的项目,经相关部门批准后依批准的内容开展经营活动;不得从事本市产业政策禁止和限制类项目的经营活动。)","https://www.qichacha.com/pl_pa393d7f5233e5e476e3cabae41e76f1.html","http://qccdata.qichacha.com/ECIScreen/6ac6b84051477fcdc24998d94b0f2d78/20170913190045400.png","https://www.qichacha.com/firm_6ac6b84051477fcdc24998d94b0f2d78.html","289698423@qq.com","2017-05-27","2016-05-24"
"蓝蛙餐饮管理(上海)有限公司重庆第二分公司","-","暂无","暂无","HUANG WEN ZIN ","重庆市江北区北城天街10号A馆-3F-002b",""," ","","-","存续(在营、开业、在册)","500000503408523","35570770-X","9150010535570770X4","有限责任公司(外国法人独资)分公司","9150010535570770X4","住宿和餐饮业","-","-","重庆市工商行政管理局","-","-","重庆市江北区北城天街10号A馆-3F-002b","餐饮管理;餐饮服务;日用百货、服饰、工艺礼品(象牙及其制品除外)、旅游纪念品的零售;提供相关配套服务;餐饮即食食品(面包;糕点)、餐饮半成品(生制)、餐饮半成品(热加工)、餐饮原料;销售食品(以上范围须经审批的经营项目,取得审批后方可从事经营)。**【依法须经批准的项目,经相关部门批准后方可开展经营活动】","https://www.qichacha.com/pl_p1a4fc16dee6d6648569bf869d0e755c.html","未上传","https://www.qichacha.com/firm_df474393a44c96ab0b2cdda9e1edcad0.html","lucy@kabbsh.com","2018-03-05","2015-09-15"
"渝北区事宜酒店","-","18680819866","暂无","牟桂霞","重庆市渝北区龙溪街道红锦大道23号加来金大厦","","","暂无","-","存续","500112604218967","-","92500112MA5UME9H8G","个体工商户","92500112MA5UME9H8G","住宿和餐饮业","-","-","重庆市工商行政管理局渝北区分局","-","-","重庆市渝北区龙溪街道红锦大道23号加来金大厦","住宿服务；餐饮服务：小型餐馆（中西餐类制售；含冷热饮品制售，不含凉菜、生食海产品及裱花蛋糕）。（按许可证核定的有效期限和范围从事经营）","https://www.qichacha.com/pl_p632b6e2f7ae8da78a98c1d263e9d7ae.html","未上传","https://www.qichacha.com/firm_8588cba4c18e290280f0b676d1aeae8d.html","暂无","2017-06-07","2014-11-03"
"河南悦如资产管理有限公司","-","暂无","http://wwwyueru.com","胡志刚 ","郑州市郑东新区商务外环路14号22层2209室"," ","","","3100万人民币元","存续（在营、开业、在册）","410101000118496","39532807-7","914101003953280779","有限责任公司(自然人投资或控股)","914101003953280779","租赁和商务服务业","100-499人","-","郑州市工商行政管理局郑东新区分局","-","-","郑州市郑东新区商务外环路14号22层2209室","企业投资管理;企业管理咨询;企业资产管理;企业资产重组、并购策划;以自有资金对房地产产业、互联网行业、服务业投资;物业服务(凭有效资质证经营);家政服务;代理房地产营销策划、买卖、租赁、抵押手续、提供房地产信息咨询服务(以上范围凭有效资质证经营)。","https://www.qichacha.com/pl_p8b63574779a76406fbd8959eb59fe67.html","http://qccdata.qichacha.com/ECIScreen/7adff5c646296bd5484d518369cc8d28/20180619152928017.png","https://www.qichacha.com/firm_7adff5c646296bd5484d518369cc8d28.html","postmaster@yueroom.com","2015-09-16","2014-07-30"
"","","","","","","悦如网隶属于河南悦如资产管理有限公司，成立于2014年2月，定位于房屋租赁管理增值服务。公司服务于两个群体：拥有闲置房产的个人、企业房东以及需要租房居住的年轻人。为闲置房业主提供房屋托管、家居设计、装修施工、房屋租赁、租后管理维护服务及资产增值一站式管理服务；同时致力于打造都市出租公寓标准，为入住租客提供完美的租住生活体验。","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," 悦如以互联网为媒介，竭力打造全新租房模式，个性化家居、年轻化社区、丰富周到的租后服务，为有梦想肯奋斗的青年人提供城市漂泊中的温暖栖息地，让年轻人为事业理想而奋斗时没有后顾之忧。 ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," 我们不是中介，我们是你的全能房屋管家，是年轻人梦想的忠实拥护者！","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," 据统计，2014年中国可供出租的商品房有1亿套，而有租房需求的人口为4亿。在北京、上海、广州、深圳等大城市以及武汉、郑州等省会城市，租房被认为是没有品质的被迫选择，房屋品质差、安全无保障、无端苛扣押金、同住租客素质差等等，让在大城市奋斗的租房人叫苦不迭。正是基于这样的现状，2014年7月，一个全新的品牌www.yueroom.com——悦如诞生了！","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," 悦如是河南市场最大的互联网高品质租房品牌，我们致力于创造全世界最大的高品质、互联网悦如生活社区！ ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," 我们是传统租房行业的颠覆者：我们为租客提供极致的居住服务，包括租客认证、保洁、维修、免费WIFI、入住三天不满意全额退款等颠覆传统租房行业的极致服务！","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," 我们是全新租房行业的缔造者：我们为租客提供高品质的租房产品，截止到目前已拥有超过上千间悦如公寓，它以“爱琴海、后现代、卡布奇诺、闺宿”四种设计装修风格，齐全的家具家电吸引了数千位悦如客。我们以高品质的服务为都市青年打造全新社区生活方式！ ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," 我们还是互联网O2O的引领者：找房、定房、看房、交房租、申请服务、交友、专属APP等，一网搞定！ ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," 悦如团队平均年龄只有26岁，是一支崇尚平等、充满激情的快乐团队。目前员工总数已超过100人，团队规模还在高速扩张中。 ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," 我们计划未来十年在中国管理物业一百万套，管理价值一万亿，打造集资产管理、居住及延伸服务、信息与数据服务为一体的O2O电子商务平台。 ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," www.yueroom.com","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," ","","","","","","","","","","","","","","","","","","","","","","",""
"重庆市潼南区大潼建设工程有限公司","-","暂无","暂无","汪明伟 ","重庆市潼南区桂林街道办事处奋进大道368号",""," ","","10000万人民币元","存续(在营、开业、在册)","500223008381023","MA5U3TGY-9","91500223MA5U3TGY9A","有限责任公司(国有独资)","91500223MA5U3TGY9A","租赁和商务服务业","-","-","重庆市工商行政管理局潼南区分局","-","-","重庆市潼南区桂林街道办事处奋进大道368号","从事建筑相关业务(凭资质执业);对区政府授权的公路、市政、桥梁、国省道大修、学校、医院、文化、社会保障、棚户区改造等基础设施建设项目进行管理(不得从事吸收公众存款或变相吸收公众存款、发放贷款以及证券、期货等金融业务)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)***","https://www.qichacha.com/pl_pe0eb22b6d10b1562127a22593b3c561.html","http://qccdata.qichacha.com/ECIScreen/d7637176ea04b831a75eadc818d9d77c/20180706090730504.png","https://www.qichacha.com/firm_d7637176ea04b831a75eadc818d9d77c.html","暂无","2018-05-28","2015-11-30"
"两江新区仙境酒店","-","暂无","暂无","万小林","重庆市北部新区经开园金童路58-2至3、60-2至3、62-2至3","","","暂无","-","存续","500905604653840","-","-","个体工商户","-","住宿和餐饮业","-","-","重庆两江新区市场和质量监督管理局","-","-","重庆市北部新区经开园金童路58-2至3、60-2至3、62-2至3","招待所、公共浴室（有效期至2018年12月7日）。","https://www.qichacha.com/pl_pec5bf958092088d1b619182da5606ea.html","未上传","https://www.qichacha.com/firm_24bcf533f06ca8c6e4b6db35ca05476e.html","暂无","2014-12-12","2014-12-12"
"重庆缤果餐饮管理有限公司","-","暂无","http://www.bingoxiancha.com/","李进宇 ","重庆市渝中区大坪正街160号1幢5-1#","\n                    BINGO来源于一种游戏，是胜利者发出的喊声，也意指获得成功时的快乐。在这里BINGO作为潮流休闲饮品售卖连锁店的代表。","","","50万人民币元","存续(在营、开业、在册)","500105000046893","68394960-1","915001036839496019","有限责任公司","915001036839496019","租赁和商务服务业","少于50人","50万人民币元","重庆市工商行政管理局渝中区分局","-","-","重庆市渝中区大坪正街160号1幢5-1#","餐饮管理;企业管理咨询;销售:酒店用品,百货,五金交电。**[国家法律、行政法规禁止的不得经营;国家法律、行政法规规定取得许可后方可从事经营的,未取得许可前不得经营]","https://www.qichacha.com/pl_p61923b7efe8045699b5afdb16a7e21c.html","未上传","https://www.qichacha.com/firm_bee79f60640bbf408f2bd720bd44e150.html","暂无","2016-03-24","2009-03-04"
"","","","","","","\n2008年，缤果鲜茶在重庆开设第一间店铺以来，良好的品牌形象和产品口碑，在以年轻人为主体的消费群中形成一定的影响力和品牌忠诚度。目前，我们一直坚持新鲜茗茶手工泡制的街饮店。我们倡导健康、营养、卫生的消费理念,为您能品尝到一杯完美的饮品，我们一直很努力！我们将为您提供良好的个人发展空间和福利待遇，我们的团队期待您的加入。\n                ","","","","","","","","","","","","","","","","","","","","","","",""
"北京港汇吉阿纪美容美发有限公司","-","暂无","暂无","胡珀 ","北京市丰台区周庄子小区20号楼1-2幢1层101室",""," ","","10万人民币元","开业","110106018652809","33040930-0","91110106330409300Y","有限责任公司(自然人独资)","91110106330409300Y","居民服务、修理和其他服务业","-","-","丰台分局","-","-","北京市丰台区周庄子小区20号楼1-2幢1层101室","美容美发;技术服务、技术转让、技术咨询;销售化妆品、日用品。(企业依法自主选择经营项目,开展经营活动;依法须经批准的项目,经相关部门批准后依批准的内容开展经营活动;不得从事本市产业政策禁止和限制类项目的经营活动。)","https://www.qichacha.com/pl_p6bcab8f3e6256a1db96923d8d600a86.html","http://qccdata.qichacha.com/ECIScreen/b49ad9d48a5a8d4e3df8bf7c00642d74/20170918185123441.png","https://www.qichacha.com/firm_b49ad9d48a5a8d4e3df8bf7c00642d74.html","13811170551@139.com","2016-12-26","2015-02-10"
"重庆市大泽置业代理有限公司康桥分店","-","暂无","暂无","李国辉 ","重庆市永川区红河大道175号",""," ","","-","存续(在营、开业、在册)","500383300007989","67103041-1","915001186710304118","分公司","915001186710304118","房地产业","-","-","重庆市工商行政管理局永川区分局","-","-","重庆市永川区红河大道175号","房地产经纪、咨询。(依法须经批准的项目,经相关部门批准后方可开展经营活动)■","https://www.qichacha.com/pl_pd02d70efe9f37cf05adba1bc4940258.html","未上传","https://www.qichacha.com/firm_6c5ed04908c4841533581dd0521ea4ad.html","2898503062@qq.com","2016-06-16","2008-02-13"
"重庆巨洲体育设施有限公司九龙坡分公司","-","暂无","暂无","王琼 ","重庆市九龙坡区谢家湾正街91号",""," ","","-","存续(在营、开业、在册)","500107300029553","59227635-X","9150010759227635XX","分公司","9150010759227635XX","批发和零售业","-","-","重庆市工商行政管理局九龙坡区分局","-","-","重庆市九龙坡区谢家湾正街91号","销售:体育器材、训练健身器材及技术服务;销售:文化用品;体育赛事策划及咨询。**[以上项目法律、法规禁止经营的不得经营;法律、法规规定应经审批而未获审批前不得经营]","https://www.qichacha.com/pl_pb45a98111a25340363313669e5a8743.html","未上传","https://www.qichacha.com/firm_5781b815a7a8325f89b5c812922b0ec2.html","279287765@qq.com","2016-07-05","2012-03-19"
"重庆美奇游乐设施有限公司","-","暂无","暂无","戴巧珠 ","重庆市九龙坡区锦虹一路1号4幢11-1号",""," ","","50万人民币元","存续(在营、开业、在册)","500107007983841","32779909-6","91500107327799096M","有限责任公司","91500107327799096M","批发和零售业","-","-","重庆市工商行政管理局九龙坡区分局","-","-","重庆市九龙坡区锦虹一路1号4幢11-1号","销售:游乐设备、玩具、健身器材、体育器材、体育用品、休闲设施、安全地垫、桌椅、木制品、家具、景观园林设施、工艺美术品(不含文物)、塑胶制品、塑料制品、金属制品;铺设塑胶场地、人造草坪。**[依法须经批准的项目,经相关部门批准后方可开展经营活动]","https://www.qichacha.com/pl_p087a1ae8f12aabf9f473ece7e214a47.html","http://qccdata.qichacha.com/ECIScreen/5b09703c184c7fd8c967f6712fe1fa04/20180517161807841.png","https://www.qichacha.com/firm_5b09703c184c7fd8c967f6712fe1fa04.html","暂无","2016-05-10","2015-05-06"
"北京皖湘府餐饮管理有限责任公司","-","暂无","暂无","杨振 ","北京市西城区宣武门西大街28号大成广场西座6门2层201室",""," ","","10万人民币元","开业","110102017346396","30640935-1","91110102306409351C","有限责任公司(自然人独资)","91110102306409351C","租赁和商务服务业","-","-","北京市工商行政管理局西城分局","-","-","北京市西城区宣武门西大街28号大成广场西座6门2层201室","企业管理;餐饮服务。(企业依法自主选择经营项目,开展经营活动;餐饮服务以及依法须经批准的项目,经相关部门批准后依批准的内容开展经营活动;不得从事本市产业政策禁止和限制类项目的经营活动。)","https://www.qichacha.com/pl_pf4a7a3fa0ad3d7405e69461859f542e.html","http://qccdata.qichacha.com/ECIScreen/eb2eb6fdc800960402b32ea4f2b2725f/20170819210201232.png","https://www.qichacha.com/firm_eb2eb6fdc800960402b32ea4f2b2725f.html","b03223158@sina.com","2018-05-18","2014-06-03"
"重庆市松青园林艺术有限公司","-","暂无","暂无","马公全 ","重庆市渝中区较场口88号得意世界C4-6-6号"," ","","","50万人民币元","存续(在营、开业、在册)","500103000134856","74534283-0","915001037453428302","有限责任公司","915001037453428302","水利、环境和公共设施管理业","50-99人","50万人民币元","重庆市工商行政管理局渝中区分局","-","-","重庆市渝中区较场口88号得意世界C4-6-6号","城市园林绿化工程设计、施工(凭资质许可证从事经营)『以上范围法律、法规禁止经营的不得经营;法律、法规规定应经审批而未获审批前不得经营』★★","https://www.qichacha.com/pl_pa5b78bbcd0d5e1a704761795368c8b4.html","未上传","https://www.qichacha.com/firm_75d002d1ed50ff0cfce11441420b719f.html","2209178041@qq.com","2016-04-28","2003-01-21"
"","","","","","","本公司主要承接私家园林绿化景观工程，设计施工配套","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," ","","","","","","","","","","","","","","","","","","","","","","",""
"龙湖物业服务集团有限公司时代天街租售中心","-","暂无","暂无","曾婷 ","重庆市渝中区时代天街2号1幢6楼",""," ","","-","存续(在营、开业、在册)","500103300048336","06615833-7","915001030661583374","分公司","915001030661583374","房地产业","-","-","重庆市工商行政管理局渝中区分局","-","-","重庆市渝中区时代天街2号1幢6楼","房地产经纪(凭资质许可证从事经营)。『以上范围法律、法规、国务院决定禁止经营的不得经营;法律、法规、国务院决定规定应经审批而未获审批前不得经营』★★","https://www.qichacha.com/pl_pr02d0eed2ed8eb0aff1367e69f3df0b.html","未上传","https://www.qichacha.com/firm_0a337dcf6688171dc73e306be7849fab.html","暂无","2018-05-23","2013-02-25"
"深圳市创富港商务服务股份有限公司雷圳商务服务分公司","-","暂无","暂无","邹建荣 ","深圳市福田区福明路雷圳大厦裙楼05层西半层553室",""," ","","-","存续（在营、开业、在册）","440301103752602","68200700-6","91440300682007006L","有限责任公司分公司","91440300682007006L","批发和零售业","-","-","深圳市市场监督管理局","-","-","深圳市福田区福明路雷圳大厦裙楼05层西半层553室","提供办公场地租赁及配套商务服务;信息咨询;国内贸易;经营进出口业务;自有房屋租赁;物业管理。(以上各项不含国家法律、行政法规、国务院决定规定需报经审批的项目。)","https://www.qichacha.com/pl_pc86d48a14a2c90aa1af3800e9783c1e.html","未上传","https://www.qichacha.com/firm_da0e766aa298f9e2c1c62db3a39942d2.html","1713255372@qq.com","2015-08-19","2008-12-08"
